coc_code,coc_name,state_code,total_2010_population,total_pills_2010
mt-500,montana statewide coc,mt,989415,38139090
nc-500,winston-salem/forsyth county coc,nc,350670,13596880
nc-501,asheville/buncombe county coc,nc,238318,10619360
nc-502,durham city & county coc,nc,270249,7763410
nc-503,north carolina balance of state coc,nc,4968102,232871635
nc-504,"greensboro, high point coc",nc,488406,15032191
nc-505,charlotte/mecklenburg county coc,nc,919628,21131780
nc-506,"wilmington/brunswick, new hanover, pender counties coc",nc,362315,19260210
nc-507,raleigh/wake county coc,nc,900993,20552200
nc-509,"gastonia/cleveland, gaston, lincoln counties coc",nc,382429,18716280
nc-511,fayetteville/cumberland county coc,nc,319431,11956080
nc-513,chapel hill/orange county coc,nc,133801,2060640
nc-516,northwest north carolina coc,nc,215329,10567750
nd-500,north dakota statewide coc,nd,672591,12928600
ne-500,nebraska balance of state coc,ne,888206,21299663
ne-501,"omaha, council bluffs coc",ne,769108,21990830
ne-502,lincoln coc,ne,245873,7065900
nh-500,new hampshire balance of state coc,nh,915749,32721950
nh-501,manchester coc,nh,109565,3397170
nh-502,nashua/hillsborough county coc,nh,291156,7103680
nj-500,atlantic city & county coc,nj,274549,10605940
nj-501,bergen county coc,nj,910678,18530010
nj-502,burlington county coc,nj,448734,15470920
nj-503,"camden city & county/gloucester, cape may, cumberland counties coc",nj,1056108,46210510
nj-504,newark/essex county coc,nj,783969,13666000
nj-506,"jersey city, bayonne/hudson county coc",nj,643884,10078617
nj-507,new brunswick/middlesex county coc,nj,809858,23241246
nj-508,monmouth county coc,nj,633734,18022610
nj-509,morris county coc,nj,492276,10346050
nj-510,lakewood township/ocean county coc,nj,576567,19911660
nj-511,paterson/passaic county coc,nj,501226,9681440
nj-512,salem county coc,nj,66083,2664280
nj-513,somerset county coc,nj,323444,5725030
nj-514,trenton/mercer county coc,nj,366513,8405870
nj-515,elizabeth/union county coc,nj,536499,10483866
nj-516,"warren, sussex, hunterdon counties coc",nj,386306,9057190
nm-500,albuquerque coc,nm,519690,26878960
nm-501,new mexico balance of state coc,nm,1545105,54810870
nv-500,las vegas/clark county coc,nv,1951269,113249230
